customer_id,first_name,last_name,country,Salary,Total_Amount_Wagered,Age,Gender,Bet_Type_Preference,Total_Number_of_Bets,Number_of_Bonuses_Received,Average_Amount_of_Bonuses_Received
1252,Anne,Gray,Netherlands Antilles,20130,8377,14.0,Male,Cricket,43.0,16.0,682
9662,Courtney,Washington,Somalia,43503,27899,35.0,Male,Poker,89.0,19.0,1380
7086,Claudia,Perez,Cuba,36284,85426,19.0,Male,Basketball,88.0,19.0,900
3479,Sean,Miller,Jersey,47525,50538,38.0,Female,Cricket,98.0,18.0,1318
6334,Mary,Cantrell,Libyan Arab Jamahiriya,44283,85194,22.0,Male,Cricket,95.0,18.0,7861
9138,Jeremiah,Martinez,Guinea-Bissau,29635,21413,27.0,Male,Blackjack,70.0,19.0,6048
3943,Dylan,Giles,British Virgin Islands,74122,28324,36.0,Male,Cricket,74.0,19.0,2547
9138,Jeremiah,Martinez,Guinea-Bissau,27450,24716,27.0,Male,Cricket,68.0,19.0,2228
5228,Nicole,Ferrell,Antarctica (the territory South of 60 deg S),58268,15880,33.0,Female,Football,84.0,19.0,4290
1415,Lacey,Young,Gibraltar,74107,23570,35.0,Male,Football,72.0,19.0,6731
7549,Taylor,Hess,Israel,91861,53120,31.0,Male,Cricket,42.0,16.0,1446
7779,Jean,Cox,Slovenia,30665,29120,30.0,Male,Cricket,75.0,19.0,9977
7737,Amber,Kelly,Antigua and Barbuda,28564,18892,25.0,Male,Poker,67.0,19.0,7743
7563,Diane,Moss,United States of America,25316,20944,24.0,Male,Basketball,62.0,19.0,6778
2560,Gerald,Ramsey,Germany,26566,32896,29.0,Male,Blackjack,70.0,20.0,5211
5920,Travis,Quinn,Ukraine,30428,28791,30.0,Male,Football,75.0,19.0,6865
3277,Hector,Lee,Azerbaijan,26384,63940,26.0,Female,Cricket,76.0,20.0,1285
8394,Robert,Carroll,Timor-Leste,81373,69152,31.0,Female,Basketball,69.0,20.0,5130
7687,Michael,Hart,New Caledonia,61399,45774,40.0,Male,Football,95.0,18.0,4104
9491,William,Smith,Dominican Republic,78831,18805,32.0,Male,Basketball,61.0,19.0,1649
2436,Kara,Villarreal,Lesotho,86423,38674,34.0,Male,Blackjack,53.0,18.0,4710
5656,Thomas,Huerta,Armenia,18666,9997,14.0,Male,Cricket,40.0,15.0,8958
4220,Danielle,Juarez,Nepal,54361,34632,39.0,Male,Cricket,94.0,18.0,6437
5946,Albert,Keller,Barbados,57207,39284,40.0,Male,Football,95.0,18.0,1306
7737,Amber,Kelly,Antigua and Barbuda,70685,41299,39.0,Male,Basketball,84.0,19.0,5165
3323,Jenna,Smith,Swaziland,28484,12704,22.0,Male,Football,63.0,19.0,6881
6586,Jonathan,Walsh,Bermuda,57552,70558,33.0,Male,Basketball,99.0,17.0,5627
5516,Bryan,King,Belarus,24271,9057,18.0,Male,Keno,52.0,18.0,4997
1254,Jessica,Vega,Bolivia,50307,18142,33.0,Male,Basketball,86.0,19.0,2941
7901,Randall,Parrish,Guadeloupe,32417,34114,32.0,Male,Cricket,80.0,19.0,225
5193,Kathy,Sims,Montenegro,54863,72141,32.0,Male,Basketball,99.0,18.0,3444
3796,Nichole,Johnson,Iraq,83375,18527,30.0,Male,Football,51.0,18.0,1498
3679,Gary,Morris,Svalbard & Jan Mayen Islands,44784,33527,37.0,Female,Tennis,92.0,18.0,7393
5179,Robert,Cox,Senegal,28245,14128,23.0,Female,Football,63.0,19.0,1253
2861,Wendy,Johnson,Equatorial Guinea,46212,56836,37.0,Male,Football,98.0,18.0,6743
7382,Ronald,Fisher,Sudan,23346,9883,17.0,Male,Cricket,51.0,17.0,4371
3707,David,Golden,Sierra Leone,39831,11771,27.0,Male,Poker,77.0,19.0,6144
5393,Anthony,Parker,Fiji,45190,66361,33.0,Male,Football,98.0,18.0,8596
9867,Andrew,Smith,Barbados,74020,40029,38.0,Male,Cricket,79.0,20.0,1612
9138,Jeremiah,Martinez,Guinea-Bissau,20699,7991,14.0,Female,Cricket,44.0,16.0,7038
5785,Bianca,Morrison,Switzerland,67649,79615,28.0,Male,Cricket,90.0,19.0,9854
7204,Eddie,Dickson,Togo,92077,13022,23.0,Male,Poker,25.0,11.0,7526
1781,Tonya,Brown,Eritrea,44805,14696,30.0,Male,Basketball,82.0,19.0,5183
3159,Julie,Gallagher,Suriname,29464,66819,27.0,Male,Cricket,81.0,20.0,6466
8934,Isaac,Jones,Norway,48515,47203,39.0,Male,Cricket,98.0,17.0,2524
1799,Tamara,Palmer,San Marino,83250,13524,27.0,Male,Cricket,48.0,17.0,8969
2982,Michael,Spencer,Tunisia,74390,37077,38.0,Male,Keno,77.0,20.0,9695
6914,Brandon,Brewer,Korea,45632,19916,33.0,Female,Football,86.0,19.0,7064
5853,Angela,Garcia,Thailand,15601,7588,10.0,Female,Cricket,31.0,13.0,8883
9491,William,Smith,Dominican Republic,43052,19556,32.0,Male,Cricket,84.0,19.0,5167
8894,Bryan,Young,Hong Kong,30383,93911,9.0,Female,Football,78.0,20.0,9549
3830,Alicia,Martin,Switzerland,99779,19920,22.0,Male,Poker,5.0,3.0,4171
4473,Mary,Little,Venezuela,44923,22952,34.0,Male,Keno,87.0,19.0,846
5805,John,Brock,Namibia,94101,76046,21.0,Female,Basketball,36.0,15.0,8328
6172,William,Oliver,Nicaragua,37135,22930,31.0,Male,Football,81.0,19.0,2074
6482,Donna,Johnson,Falkland Islands (Malvinas),23851,6311,15.0,Male,Cricket,49.0,17.0,3991
2972,Timothy,Bradshaw,Myanmar,55707,63123,36.0,Male,Football,100.0,17.0,6032
9399,Lori,Stewart,Korea,71116,19260,34.0,Female,Cricket,74.0,19.0,6053
6210,Matthew,White,Bouvet Island (Bouvetoya),36448,45357,35.0,Female,Cricket,89.0,19.0,4480
4224,Danny,Johnson,Bolivia,97343,25317,25.0,Female,Poker,16.0,8.0,8279
7168,Michael,Coleman,Solomon Islands,78190,10013,27.0,Female,Cricket,57.0,18.0,2061
6757,Adam,Hall,Venezuela,36633,81130,22.0,Female,Football,90.0,19.0,3062
2150,Monica,Simmons,Estonia,72292,25243,36.0,Male,Cricket,75.0,19.0,9879
2434,Ebony,Allen,Chad,27890,25675,28.0,Female,Cricket,69.0,19.0,4550
4282,James,Brandt,Andorra,20666,8379,15.0,Female,Football,44.0,16.0,1909
5644,Crystal,Smith,Chile,72175,62146,36.0,Female,Cricket,85.0,19.0,1651
7563,Diane,Moss,United States of America,50810,23267,35.0,Male,Cricket,89.0,18.0,6459
4242,James,Strong,Saudi Arabia,95471,10335,19.0,Male,Tennis,13.0,7.0,2696
4580,Mary,Jordan,Turks and Caicos Islands,38963,54287,35.0,Male,Cricket,93.0,18.0,5189
3479,Sean,Miller,Jersey,28169,35240,30.0,Male,Football,74.0,20.0,5011
5945,Dustin,Smith,Bangladesh,78140,12079,28.0,Male,Keno,58.0,18.0,9789
5656,Thomas,Huerta,Armenia,68210,45528,40.0,Female,Poker,88.0,19.0,6753
5711,Penny,Moss,Palestinian Territory,66269,30605,38.0,Male,Football,85.0,19.0,8836
5657,Mary,Sexton,Honduras,20477,8664,15.0,Male,Cricket,44.0,16.0,3955
9951,Joshua,Sherman,United Arab Emirates,91810,72982,24.0,Male,Poker,43.0,17.0,3519
8488,Mary,Ortega,Senegal,37932,88781,17.0,Male,Football,89.0,19.0,7112
2560,Anthony,Joyce,Armenia,22625,7637,16.0,Female,Cricket,48.0,17.0,9998
4136,Daniel,Holloway,Antarctica (the territory South of 60 deg S),69775,98884,12.0,Male,Cricket,82.0,20.0,5699
5775,Tyler,Miller,Sao Tome and Principe,71426,10695,29.0,Male,Cricket,68.0,19.0,1758
3899,Henry,Collins,North Macedonia,52272,15012,32.0,Female,Football,84.0,19.0,3201
2082,Lauren,Griffin,Palau,50457,78747,28.0,Female,Basketball,99.0,18.0,6266
8878,Michelle,Taylor,Japan,30415,18196,26.0,Male,Football,69.0,19.0,2319
9451,Jimmy,Ferguson,Slovenia,35541,12823,26.0,Male,Cricket,73.0,19.0,6465
3570,Jaclyn,Kennedy,Hungary,88345,43617,33.0,Female,Esports,50.0,18.0,4792
3313,Dominique,Martin,Philippines,31170,12365,23.0,Male,Football,67.0,19.0,9020
4753,Chloe,Hernandez,Ecuador,61090,37805,40.0,Female,Poker,93.0,18.0,1025
4543,Anna,Miller,Somalia,41389,86221,20.0,Male,Cricket,93.0,19.0,8490
7157,Marcus,Murphy,Bahrain,25496,72445,22.0,Male,Football,74.0,20.0,861
8890,Lauren,Peterson,Mali,41269,75488,28.0,Male,Poker,95.0,18.0,641
3621,Jimmy,Harrington,Norfolk Island,26515,33373,29.0,Female,Football,70.0,20.0,1752
2860,Heather,Mack,Paraguay,33310,34686,33.0,Male,Cricket,81.0,19.0,3959
4033,Julie,Brown,Sri Lanka,66102,17080,33.0,Female,Cricket,79.0,19.0,2138
3828,Ronald,Bowman,Haiti,53100,46248,39.0,Male,Basketball,98.0,17.0,4843
7079,Steven,Jones,Bosnia and Herzegovina,32461,55961,32.0,Female,Cricket,85.0,19.0,2677
2783,Jeffrey,Bass,Singapore,35890,27494,32.0,Male,Blackjack,82.0,19.0,2658
1472,Tyrone,Marsh,American Samoa,90570,14912,25.0,Male,Football,31.0,13.0,2281
5106,Justin,Johnson,Saint Pierre and Miquelon,46974,37565,38.0,Male,Basketball,94.0,18.0,9744
9633,Edward,Welch,Poland,33179,88239,15.0,Female,Poker,84.0,20.0,8685
5099,Jennifer,Thomas,Lithuania,28903,16205,24.0,Female,Basketball,66.0,19.0,5665
5742,Sabrina,Sullivan,Slovakia (Slovak Republic),26793,19588,25.0,Male,Basketball,64.0,19.0,8009
2150,Monica,Simmons,Estonia,47370,14604,31.0,Male,Poker,83.0,19.0,9801
5245,Heidi,Henson,Taiwan,19524,7738,13.0,Female,Poker,41.0,16.0,9824
2972,Timothy,Bradshaw,Myanmar,72258,40914,39.0,Male,Cricket,82.0,19.0,4093
7204,Eddie,Dickson,Togo,29689,17831,26.0,Male,Poker,68.0,19.0,6117
8271,Kevin,Koch,Saint Lucia,52913,47488,39.0,Male,Cricket,98.0,17.0,4380
6456,Paige,Fuentes,Belgium,15787,5624,9.0,Male,Keno,30.0,13.0,5571
5889,Samantha,Cunningham,Tanzania,38558,33874,35.0,Female,Keno,87.0,19.0,4883
2560,Gerald,Ramsey,Germany,24245,9193,18.0,Male,Bingo,52.0,18.0,2373
4898,Jeffrey,Davis,Guinea-Bissau,29724,61418,29.0,Male,Cricket,82.0,20.0,4904
7857,Joshua,Robertson,Monaco,44831,16637,31.0,Male,Cricket,83.0,19.0,9329
8226,Nancy,Glenn,Pitcairn Islands,99263,12899,19.0,Female,Cricket,3.0,2.0,224
1250,Linda,Horton,Oman,36564,84582,20.0,Male,Poker,89.0,19.0,2126
4030,Monica,Campbell,Vanuatu,35764,12387,26.0,Male,Tennis,73.0,19.0,7786
3828,Ronald,Bowman,Haiti,30197,97700,6.0,Male,Cricket,76.0,20.0,1404
8789,John,Smith,Saint Martin,40865,47751,36.0,Male,Cricket,94.0,18.0,8957
8890,Lauren,Peterson,Mali,41347,26958,34.0,Male,Cricket,87.0,19.0,4393
4687,Christopher,Wagner,Qatar,49156,18292,33.0,Female,Poker,86.0,19.0,5998
1171,Sherry,Bean,Bulgaria,26550,36036,29.0,Male,Bingo,71.0,20.0,5766
5248,Andrew,Carter,Myanmar,32864,98403,6.0,Male,Cricket,80.0,20.0,2355
2930,Ryan,Patterson,Palau,64145,89306,21.0,Male,Keno,91.0,19.0,3462
2616,John,Stephenson,Norfolk Island,54336,27158,37.0,Male,Basketball,91.0,18.0,2501
2851,Thomas,Wood,Guadeloupe,24039,8190,17.0,Female,Cricket,51.0,17.0,4860
8764,Nathan,Nelson,Paraguay,52648,11893,30.0,Male,Keno,82.0,19.0,644
2780,William,Hill,New Caledonia,32962,72378,26.0,Male,Cricket,86.0,19.0,2142
1467,Mark,Miller,Liberia,58559,10660,30.0,Female,Keno,80.0,19.0,8102
3428,Ryan,Simmons,Solomon Islands,56707,10412,30.0,Female,Cricket,81.0,19.0,2712
8453,Tyler,Roberts,Senegal,53295,47328,39.0,Female,Football,98.0,17.0,7946
2851,Thomas,Wood,Guadeloupe,18283,8492,13.0,Male,Football,39.0,15.0,1408
2783,Jeffrey,Bass,Singapore,26843,10783,20.0,Male,Cricket,58.0,18.0,2015
9695,Linda,Jones,United Arab Emirates,17716,9384,13.0,Female,Poker,38.0,15.0,1279
2850,Tammy,Jefferson,Morocco,24160,8878,17.0,Male,Football,52.0,18.0,2531
5372,Joseph,Owens,Antigua and Barbuda,43468,19705,32.0,Male,Keno,84.0,19.0,9795
7743,Alicia,Kelley,French Guiana,82479,18836,30.0,Female,Cricket,53.0,18.0,9299
3395,Margaret,Price,Equatorial Guinea,43577,25765,34.0,Male,Cricket,88.0,19.0,3884
7695,Jasmin,Joseph,Gibraltar,84553,42473,35.0,Male,Cricket,59.0,19.0,1343
5805,John,Brock,Namibia,25382,30895,28.0,Female,Cricket,67.0,19.0,1299
5805,Debra,Galvan,United Arab Emirates,61497,17557,34.0,Male,Cricket,83.0,19.0,2737
2304,Paul,Oneal,Norfolk Island,66698,31776,38.0,Female,Cricket,85.0,19.0,8138
7695,James,Sullivan,South Georgia and the South Sandwich Islands,24951,6829,16.0,Female,Keno,52.0,18.0,4367
4120,Mary,Hernandez,Burundi,40392,60259,34.0,Female,Football,95.0,18.0,6274
7449,Scott,Martinez,Dominica,68034,68182,34.0,Male,Poker,91.0,19.0,4807
6482,Donna,Johnson,Falkland Islands (Malvinas),44986,10503,28.0,Male,Poker,80.0,19.0,5999
9107,David,Miranda,Austria,59592,32884,39.0,Male,Cricket,92.0,18.0,621
8397,Connie,Shannon,Poland,29816,55776,30.0,Male,Keno,81.0,20.0,1576
8863,Rebecca,Harvey,Hungary,36946,54497,34.0,Female,Cricket,91.0,19.0,2951
6259,Vicki,Nelson,Congo,27230,95116,6.0,Male,Basketball,72.0,20.0,1067
9951,Joshua,Sherman,United Arab Emirates,76987,11987,29.0,Male,Poker,60.0,19.0,2803
7901,Randall,Parrish,Guadeloupe,32307,64738,29.0,Male,Football,86.0,19.0,7838
7477,Kyle,Mclaughlin,Chad,49646,22868,35.0,Male,Cricket,89.0,18.0,9275
3530,Marie,Cummings,Sri Lanka,30116,16048,25.0,Female,Bingo,67.0,19.0,9224
4185,Martha,Cruz,Cocos (Keeling) Islands,46058,11178,28.0,Male,Basketball,81.0,19.0,7601
2560,Gerald,Ramsey,Germany,85755,45101,35.0,Female,Basketball,57.0,19.0,6244
7190,Margaret,Warren,Portugal,31584,21846,28.0,Male,Cricket,73.0,19.0,3248
9059,Charles,Huff,Northern Mariana Islands,80083,34857,36.0,Male,Cricket,66.0,19.0,2234
2219,Danielle,Nguyen,Benin,95929,37355,29.0,Female,Keno,26.0,12.0,2704
5976,Melissa,Mckinney,Mauritania,26595,34066,29.0,Male,Keno,70.0,20.0,4305
6456,Paige,Fuentes,Belgium,46652,53490,37.0,Male,Football,98.0,18.0,990
7184,Christy,Long,United States Minor Outlying Islands,21904,2446,11.0,Female,Basketball,42.0,16.0,8031
2972,Timothy,Bradshaw,Myanmar,48060,12163,30.0,Male,Football,82.0,19.0,3851
5240,Carol,Wagner,China,38258,56450,34.0,Male,Poker,93.0,18.0,4307
3223,Victoria,Blanchard,Kyrgyz Republic,77722,11529,28.0,Male,Football,59.0,19.0,350
8958,Kylie,Lowe,Azerbaijan,26523,56356,28.0,Male,Cricket,76.0,20.0,3843
9314,Lorraine,Hall,Oman,18623,6260,12.0,Female,Football,38.0,15.0,3273
8707,David,Martinez,Jersey,85901,11288,25.0,Male,Basketball,41.0,16.0,5595
8131,John,Taylor,Taiwan,42184,84403,22.0,Male,Football,94.0,18.0,4862
3374,Sarah,Ware,Bulgaria,22220,7975,15.0,Male,Keno,47.0,17.0,677
8584,Stephen,Schultz,Saint Helena,30419,15365,25.0,Male,Keno,68.0,19.0,6238
2038,Jason,Garcia,Latvia,45777,19677,33.0,Male,Cricket,86.0,19.0,1058
2860,Heather,Mack,Paraguay,43597,18094,31.0,Male,Football,84.0,19.0,7242
5245,Heidi,Henson,Taiwan,56213,24420,36.0,Male,Basketball,89.0,18.0,3677
2601,David,Kirk,Bermuda,59692,23255,36.0,Female,Cricket,87.0,19.0,2594
4509,Michael,Smith,Kyrgyz Republic,88509,16164,26.0,Male,Keno,37.0,15.0,4692
7302,David,Maldonado,Netherlands,35043,59149,32.0,Male,Football,89.0,19.0,5441
2177,Steven,Pearson,Iraq,24600,4809,15.0,Female,Poker,50.0,17.0,8910
2975,Kaylee,Joyce,Uruguay,43807,31326,36.0,Female,Poker,90.0,18.0,6130
7615,Melinda,Marshall,Korea,44151,11366,28.0,Male,Poker,80.0,19.0,2715
7408,Jose,Monroe,Brunei Darussalam,41452,39284,37.0,Female,Keno,92.0,18.0,1774
7001,Shelly,Hart,Barbados,24279,5191,15.0,Male,Poker,50.0,17.0,7119
5129,Tara,Richard,India,58415,29165,38.0,Male,Cricket,91.0,18.0,8823
3621,Jimmy,Harrington,Norfolk Island,47158,22679,34.0,Male,Keno,88.0,19.0,4948
6586,Jonathan,Walsh,Bermuda,17212,7425,12.0,Male,Basketball,35.0,14.0,3429
9545,Daniel,Raymond,Bermuda,32616,65581,29.0,Female,Basketball,86.0,19.0,2935
4033,Julie,Brown,Sri Lanka,32728,34610,32.0,Male,Cricket,81.0,19.0,1407
7382,Ronald,Fisher,Sudan,50437,62567,36.0,Male,Esports,100.0,17.0,7218
5296,Kayla,Gilbert,Kiribati,29427,17330,25.0,Female,Cricket,67.0,19.0,8440
2012,Jason,Kelley,Kuwait,46359,43451,38.0,Male,Cricket,96.0,18.0,1587
6914,Brandon,Brewer,Korea,39566,27453,34.0,Male,Keno,85.0,19.0,850
6763,Elizabeth,Ibarra,Qatar,53699,43123,40.0,Male,Cricket,97.0,18.0,2542
4747,Ian,Giles,Falkland Islands (Malvinas),35937,22702,31.0,Male,Football,79.0,19.0,3298
9491,William,Smith,Dominican Republic,91139,51521,32.0,Female,Cricket,44.0,17.0,1850
2560,Gerald,Ramsey,Germany,53359,23037,36.0,Female,Tennis,89.0,18.0,6308
5946,Albert,Keller,Barbados,62406,87154,23.0,Female,Cricket,93.0,19.0,3012
4849,Cindy,Perez,Brazil,21762,8544,16.0,Male,Tennis,47.0,17.0,1681
3277,Hector,Lee,Azerbaijan,38942,10167,26.0,Male,Football,75.0,19.0,6172
1431,Matthew,Woods,Pakistan,35441,35390,34.0,Male,Basketball,84.0,19.0,3341
9673,Gina,Perkins,Guam,61966,39006,40.0,Male,Cricket,92.0,18.0,9360
2601,David,Kirk,Bermuda,61237,15651,33.0,Male,Basketball,82.0,19.0,7779
2024,Tina,Ochoa,Dominican Republic,34805,33485,33.0,Male,Cricket,83.0,19.0,1493
7549,Taylor,Hess,Israel,54696,12177,31.0,Male,Cricket,82.0,19.0,773
9209,Aaron,Livingston,Seychelles,41569,64917,33.0,Male,Cricket,96.0,18.0,5746
2031,Mary,Allen,American Samoa,18009,9071,13.0,Male,Keno,38.0,15.0,5581
5760,Samantha,Palmer,Cape Verde,40830,11526,27.0,Female,Basketball,78.0,19.0,9784
9650,Emily,Davis,Maldives,31453,19779,27.0,Female,Blackjack,72.0,19.0,1402
7302,David,Maldonado,Netherlands,24643,7417,17.0,Male,Tennis,52.0,18.0,1550
8375,Anna,Cline,Estonia,61327,43869,40.0,Male,Basketball,94.0,18.0,287
2648,Kathleen,Kane,Spain,27778,19940,25.0,Male,Basketball,66.0,19.0,9166
7091,Jesus,Andrews,Oman,18979,8829,14.0,Male,Basketball,40.0,15.0,5984
7488,John,White,Bhutan,24255,4824,15.0,Male,Basketball,49.0,17.0,263
3277,Hector,Lee,Azerbaijan,16921,7484,11.0,Female,Basketball,34.0,14.0,3945
3830,Alicia,Martin,Switzerland,33203,14884,26.0,Male,Poker,71.0,19.0,9705
8048,Jason,Dorsey,Bhutan,82694,25960,33.0,Female,Cricket,57.0,19.0,2414
2905,Cynthia,Johnson,Guadeloupe,19062,9695,14.0,Female,Basketball,41.0,16.0,4158
6984,Brandi,Hamilton,New Caledonia,61327,22912,36.0,Female,Keno,86.0,19.0,5093
6616,Evelyn,Sweeney,Tonga,20728,9599,16.0,Female,Basketball,45.0,16.0,9296
2326,Rachael,Hill,Brazil,45084,19487,32.0,Male,Poker,85.0,19.0,7953
6579,Erica,Villanueva,South Africa,56789,93142,18.0,Male,Blackjack,94.0,18.0,1206
1063,William,Martinez,Nepal,54860,17393,33.0,Female,Cricket,86.0,19.0,6164
7737,Amber,Kelly,Antigua and Barbuda,24816,7277,17.0,Male,Football,52.0,18.0,2625
4806,Anthony,Ramos,Zimbabwe,36147,28500,33.0,Male,Keno,82.0,19.0,2805
4958,Lori,Jackson,Korea,23194,6802,15.0,Male,Bingo,48.0,17.0,319
8789,John,Smith,Saint Martin,21893,7060,15.0,Male,Poker,46.0,17.0,9362
4224,Danny,Johnson,Bolivia,30814,94730,9.0,Female,Poker,78.0,20.0,3247
2875,Veronica,Pratt,Niger,31356,12513,24.0,Male,Poker,67.0,19.0,4650
8801,Kevin,Allen,Moldova,23389,5831,15.0,Male,Cricket,48.0,17.0,4895
3066,Jeffrey,Estrada,Singapore,24918,9287,18.0,Male,Cricket,54.0,18.0,2876
4690,Robert,Williams,Libyan Arab Jamahiriya,84603,19711,30.0,Male,Keno,49.0,17.0,2677
1250,Linda,Horton,Oman,38598,22452,32.0,Male,Keno,82.0,19.0,2077
4818,Tiffany,Brown,Montenegro,35710,10444,24.0,Male,Esports,72.0,19.0,3189
1494,James,Smith,Norway,42474,11347,28.0,Male,Cricket,79.0,19.0,8037
7675,Arthur,Rivera,Guam,92006,21658,27.0,Male,Tennis,31.0,13.0,6244
7542,Kayla,Mata,Swaziland,46223,21663,34.0,Male,Cricket,87.0,19.0,5078
4849,Cindy,Perez,Brazil,42362,12969,28.0,Female,Basketball,80.0,19.0,7375
2012,Jason,Kelley,Kuwait,41800,17173,30.0,Female,Basketball,82.0,19.0,9985
8878,Michelle,Taylor,Japan,29701,16694,25.0,Male,Cricket,67.0,19.0,9159
7687,Michael,Hart,New Caledonia,30104,38652,32.0,Male,Football,78.0,20.0,8348
7408,Jose,Monroe,Brunei Darussalam,21475,9470,16.0,Female,Cricket,47.0,17.0,1359
9790,Leah,Brown,Comoros,84208,23371,31.0,Male,Cricket,52.0,18.0,6847
1171,Sherry,Bean,Bulgaria,37430,28103,33.0,Male,Cricket,84.0,19.0,1747
6796,Bryce,Poole,Sweden,32890,38023,33.0,Male,Tennis,82.0,19.0,9475
3323,Jenna,Smith,Swaziland,22771,3723,13.0,Female,Basketball,45.0,16.0,2351
3815,Dakota,Adams,Bolivia,87222,66217,29.0,Male,Blackjack,56.0,19.0,2463
6424,Adrian,Jackson,Eritrea,32157,89076,14.0,Male,Cricket,82.0,20.0,1434
7408,Keith,Bradshaw,Lithuania,56594,24333,36.0,Male,Tennis,89.0,18.0,1654
4806,Anthony,Ramos,Zimbabwe,31068,29450,30.0,Male,Basketball,76.0,19.0,3162
1824,James,Torres,Suriname,84252,21157,31.0,Male,Cricket,51.0,18.0,9487
7780,Danielle,Palmer,Norfolk Island,26841,40488,30.0,Male,Keno,73.0,20.0,4674
1241,Kenneth,Jones,Djibouti,55098,32079,38.0,Male,Basketball,93.0,18.0,9855
4125,Kyle,Charles,Mali,25732,17311,23.0,Male,Tennis,61.0,19.0,6601
5243,David,Harrison,Montenegro,37244,34695,34.0,Male,Cricket,86.0,19.0,8355
6823,John,Smith,Mongolia,78498,25630,34.0,Male,Poker,65.0,19.0,7238
4580,Mary,Jordan,Turks and Caicos Islands,31914,44195,33.0,Female,Keno,82.0,19.0,7459
5240,Carol,Wagner,China,37790,15914,28.0,Female,Cricket,77.0,19.0,3842
6637,Henry,Moore,Pitcairn Islands,41713,43553,37.0,Female,Cricket,93.0,18.0,5272
5243,David,Harrison,Montenegro,18670,9142,14.0,Male,Poker,40.0,15.0,5339
5805,John,Brock,Namibia,26356,35691,29.0,Male,Cricket,71.0,20.0,664
1482,Tara,Sloan,Nigeria,41170,31541,35.0,Male,Cricket,89.0,19.0,9364
8664,William,Young,Australia,22980,6951,15.0,Male,Cricket,48.0,17.0,8756
8048,Jason,Dorsey,Bhutan,27452,21916,26.0,Female,Cricket,66.0,19.0,6224
3547,Justin,Wright,Qatar,95450,10332,19.0,Female,Cricket,14.0,7.0,2630
8281,Stephen,Valdez,Jamaica,27165,28808,28.0,Male,Basketball,69.0,19.0,2446
